1
Vendor Device GVertexMath GPixelMath GOutputBytes GAniso1 GAniso2 GAniso4 GAniso8 GAniso16
1002 1681 302.73 1543.03 259.66 51.15 27.78 15.62 11.37 8.58 "AMD Radeon Graphics (RADV REMBRANDT)"
1002 3E50 0.34 1.35 3.43 0.58 0.30 0.15 0.08 0.05 "RADEON X600/X550 Series"
1002 4150 0.30 1.18 2.83 0.57 0.29 0.13 0.07 0.04 "ATI Radeon 9600/9550/X1050 Series"
1002 4152 0.46 1.82 4.80 0.90 0.45 0.21 0.11 0.07 "ATI Radeon 9600 / X1050 Series"
1002 4153 0.23 0.91 2.30 0.39 0.20 0.10 0.05 0.03 "ATI Radeon 9550 / X1050 Series"
1002 4A49 1.31 5.14 11.82 2.37 1.19 0.56 0.31 0.19 "RADEON X800 PRO/GTO"
1002 4B49 1.44 7.68 23.96 3.28 1.64 0.81 0.45 0.28 "RADEON X850 Series"
1002 4E45 0.51 2.01 6.68 0.97 0.49 0.23 0.12 0.07 "RADEON 9500 PRO / 9700"
1002 4E46 0.55 2.16 7.05 1.00 0.49 0.24 0.13 0.08 "RADEON 9600 TX"
1002 4E50 0.38 1.48 3.40 0.70 0.36 0.17 0.09 0.05 "ATI MOBILITY RADEON 9600/9700 Series"
1002 4E66 0.55 2.16 5.46 0.94 0.46 0.23 0.13 0.08 "RADEON 9600 TX SEC Family (Microsoft Corporation)"
1002 554D 1.11 5.80 18.43 3.06 1.77 0.88 0.48 0.31 "RADEON X800 Series"
1002 5653 1.00 2.60 9.26 1.21 0.61 0.29 0.16 0.10 "ATI MOBILITY RADEON X700"
1002 5955 0.48 0.55 2.21 0.29 0.14 0.06 0.04 0.02 "ATI MOBILITY RADEON XPRESS 200"
1002 5974 0.58 0.73 2.93 0.27 0.13 0.06 0.04 0.03 "ATI Radeon Xpress 1150"
1002 5A61 0.46 0.55 2.21 0.28 0.14 0.06 0.04 0.02 "ATI RADEON XPRESS 200 Series"
1002 5A62 0.22 0.60 2.40 0.30 0.15 0.07 0.04 0.03 "ATI Radeon Xpress Series"
1002 5B60 0.30 1.17 1.99 0.42 0.24 0.12 0.07 0.04 "ATI Radeon X300/X550/X1050 Series"
1002 5B62 0.37 1.45 3.73 0.72 0.36 0.16 0.09 0.05 "ATI Radeon X300/X550/X1050 Series"
